session_id,user_id,session_date,platform,daily_usage_minutes,device_type,notifications_received,sessions_per_day,scroll_distance_meters,videos_watched,stories_viewed,ads_clicked,time_of_day
SESS000020,USR02739,2023-08-10,Snapchat,90.7,Tablet,176.0,5,1.54,17,17,10,Morning
SESS000021,USR00507,2023-03-30,Facebook,72.6,Tablet,15.0,1,64.48,82,0,12,Evening
SESS000022,USR00347,2023-06-07,Twitter/X,58.5,Tablet,39.0,10,8.62,43,23,10,Evening
SESS000023,USR04929,2023-12-13,Facebook,19.6,Tablet,168.0,22,295.77,33,7,3,Late Night
SESS000024,USR00852,2023-10-15,LinkedIn,59.6,Mobile,76.0,6,17.63,15,43,12,Evening
SESS000025,USR01756,2023-10-07,TikTok,67.3,Desktop,18.0,21,28.24,80,3,20,Late Night
SESS000026,USR04953,2023-10-15,Pinterest,87.0,Mobile,111.0,9,83.91,30,47,8,Afternoon
SESS000027,USR04988,2023-11-28,Instagram,20.6,Mobile,5.0,23,36.81,36,20,14,Morning
SESS000028,USR01006,2023-12-19,Twitter/X,259.5,Tablet,111.0,6,129.55,31,26,6,Late Night
SESS000029,USR01280,2023-10-04,Twitter/X,32.8,Tablet,109.0,13,30.88,91,20,13,Morning
SESS000030,USR04229,2023-01-09,YouTube,115.2,Desktop,146.0,13,11.76,74,14,20,Morning
SESS000031,USR03756,2023-06-03,TikTok,,Desktop,,18,,11,43,13,Afternoon
SESS000032,USR03132,2023-11-02,YouTube,23.4,Mobile,199.0,3,39.0,58,12,17,Morning
SESS000033,USR01912,2023-09-11,Pinterest,50.7,Desktop,101.0,7,92.38,33,21,14,Evening
SESS000034,USR01116,2023-01-23,Facebook,18.9,Mobile,81.0,2,107.98,14,0,10,Morning
SESS000035,USR04904,2023-05-16,Snapchat,54.9,Mobile,31.0,13,42.88,71,26,14,Afternoon
SESS000036,USR02508,2023-07-30,Snapchat,26.8,Desktop,80.0,16,105.27,63,6,14,Evening
SESS000037,USR04329,2023-05-22,Twitter/X,24.1,Tablet,141.0,21,97.76,63,12,2,Late Night
SESS000038,USR03967,2023-10-10,Facebook,60.8,Tablet,68.0,11,141.0,35,26,18,Afternoon
SESS000039,USR02388,2023-12-25,Twitter/X,17.9,Desktop,104.0,29,42.1,20,44,2,Late Night
SESS000040,USR02358,2023-06-19,Pinterest,15.5,Tablet,199.0,16,155.8,72,30,7,Morning
SESS000041,USR04490,2023-06-15,Snapchat,111.1,Mobile,90.0,20,2.58,84,31,2,Morning
SESS000042,USR03833,2023-07-02,Twitter/X,52.6,Tablet,16.0,18,77.3,61,27,16,Late Night
SESS000043,USR01937,2023-02-19,YouTube,24.6,Tablet,118.0,20,83.42,45,4,1,Evening
SESS000044,USR04100,2023-12-16,TikTok,153.7,Mobile,122.0,17,2.89,31,50,9,Late Night
SESS000045,USR03150,2023-07-27,Snapchat,55.0,Mobile,168.0,27,128.5,58,37,10,Late Night
SESS000046,USR00291,2023-10-19,Twitter/X,84.4,Mobile,70.0,11,102.26,69,34,8,Late Night
SESS000047,USR04296,2023-04-18,LinkedIn,211.5,Tablet,0.0,12,56.94,53,34,8,Evening
SESS000048,USR01573,2023-03-25,Twitter/X,95.1,Mobile,85.0,3,53.28,2,40,16,Late Night
SESS000049,USR03257,2023-05-25,Facebook,,Desktop,,26,,4,33,18,Morning
SESS000050,USR01357,2023-01-17,Facebook,59.4,Desktop,191.0,24,77.16,61,10,12,Evening
SESS000051,USR03400,2023-06-20,Instagram,31.0,Tablet,44.0,9,23.08,73,13,0,Afternoon
SESS000052,USR04143,2023-11-23,Facebook,61.5,Mobile,109.0,17,62.69,57,24,20,Evening
SESS000053,USR03812,2023-08-19,TikTok,49.6,Desktop,97.0,5,28.62,20,0,5,Late Night
SESS000054,USR01296,2023-12-11,Twitter/X,66.5,Mobile,181.0,3,16.07,37,29,0,Evening
SESS000055,USR00018,2023-05-29,Facebook,107.0,Tablet,167.0,1,71.57,2,25,10,Afternoon
SESS000056,USR00455,2023-02-21,YouTube,112.0,Tablet,113.0,9,30.29,83,4,20,Afternoon
SESS000057,USR03177,2023-02-11,LinkedIn,30.4,Desktop,3.0,25,0.11,47,41,5,Late Night
SESS000058,USR03220,2023-11-24,TikTok,125.0,Mobile,53.0,1,22.9,31,32,5,Morning
SESS000059,USR02082,2023-10-17,Pinterest,95.3,Desktop,7.0,11,4.0,47,48,9,Morning
SESS000060,USR03098,2023-04-15,Facebook,24.2,Mobile,181.0,21,35.17,34,18,11,Afternoon
SESS000061,USR03339,2023-07-09,LinkedIn,82.7,Desktop,118.0,24,44.91,49,23,20,Late Night
SESS000062,USR02162,2023-04-12,Facebook,45.5,Mobile,26.0,20,65.55,12,36,12,Afternoon
SESS000063,USR00700,2023-10-18,Pinterest,60.6,Mobile,162.0,30,146.58,21,11,1,Morning
SESS000064,USR00369,2023-02-20,LinkedIn,62.5,Mobile,31.0,8,38.88,51,4,7,Afternoon
SESS000065,USR04411,2023-11-17,Instagram,32.3,Desktop,147.0,25,8.74,5,7,1,Late Night
SESS000066,USR01088,2023-01-01,Snapchat,65.9,Mobile,35.0,6,112.78,80,1,10,Late Night
SESS000067,USR00670,2023-05-01,Twitter/X,21.0,Mobile,116.0,22,13.72,18,5,5,Afternoon
SESS000068,USR02897,2023-09-20,YouTube,39.7,Tablet,98.0,28,70.26,20,48,4,Late Night
SESS000069,USR01253,2023-11-26,Pinterest,98.1,Tablet,125.0,20,66.09,56,39,18,Evening
SESS000070,USR01527,2023-10-24,Instagram,,Mobile,,29,,57,26,19,Morning
SESS000071,USR00005,2023-02-07,Pinterest,84.0,Mobile,106.0,15,73.05,23,9,20,Late Night
SESS000072,USR00402,2023-12-22,TikTok,90.3,Tablet,172.0,15,1.3,46,35,14,Morning
SESS000073,USR01072,2023-07-22,Pinterest,61.5,Mobile,135.0,27,28.41,17,32,15,Morning
SESS000074,USR00433,2023-07-24,Snapchat,79.1,Mobile,134.0,29,6.15,6,8,15,Afternoon
SESS000075,USR00214,2023-09-12,YouTube,41.4,Desktop,119.0,5,43.94,5,0,13,Late Night
SESS000076,USR02426,2023-08-14,TikTok,31.6,Tablet,37.0,4,22.34,20,34,16,Late Night
SESS000077,USR01720,2023-12-18,YouTube,123.5,Tablet,6.0,16,105.05,64,3,9,Late Night
SESS000078,USR03403,2023-01-14,LinkedIn,68.1,Mobile,17.0,26,15.04,83,24,12,Evening
SESS000079,USR01977,2023-11-16,Facebook,86.8,Desktop,166.0,4,79.98,7,11,9,Morning
SESS000080,USR04643,2023-12-14,Pinterest,47.7,Tablet,156.0,13,21.97,88,40,2,Evening
SESS000081,USR04138,2023-07-04,Pinterest,29.2,Desktop,83.0,10,8.79,24,7,1,Evening
SESS000082,USR01959,2023-03-21,Facebook,19.6,Desktop,194.0,25,16.89,7,23,2,Late Night
SESS000083,USR03429,2023-02-07,Twitter/X,8.0,Mobile,32.0,24,67.5,23,23,16,Late Night
SESS000084,USR03916,2023-09-17,Instagram,103.9,Mobile,31.0,20,196.96,58,29,3,Evening
SESS000085,USR04069,2023-06-20,Facebook,26.7,Desktop,110.0,2,10.29,97,25,13,Late Night
SESS000086,USR02327,2023-12-13,Snapchat,,Tablet,,17,,55,29,15,Morning
SESS000087,USR03798,2023-09-16,Snapchat,20.6,Mobile,113.0,24,42.67,90,14,9,Afternoon
SESS000088,USR03236,2023-07-13,TikTok,140.3,Tablet,38.0,9,113.29,5,31,18,Evening
SESS000089,USR03943,2023-09-29,TikTok,33.1,Tablet,182.0,1,62.54,38,11,8,Late Night
SESS000090,USR03305,2023-01-22,YouTube,131.5,Tablet,46.0,1,61.92,28,38,19,Morning
SESS000091,USR03794,2023-05-14,YouTube,71.0,Desktop,133.0,7,46.01,40,13,3,Afternoon
SESS000092,USR00480,2023-12-22,Facebook,55.1,Mobile,77.0,27,37.3,41,26,20,Afternoon
SESS000093,USR01475,2023-04-07,LinkedIn,72.7,Mobile,93.0,1,17.17,55,0,20,Evening
SESS000094,USR03845,2023-11-07,Snapchat,65.5,Mobile,90.0,3,68.74,9,47,16,Late Night
SESS000095,USR02495,2023-05-14,Facebook,474.3,Desktop,15.0,23,50.0,5,8,9,Afternoon
SESS000096,USR01599,2023-03-15,LinkedIn,94.3,Desktop,28.0,2,95.31,91,28,11,Late Night
SESS000097,USR04715,2023-10-30,Instagram,29.4,Desktop,177.0,8,33.83,96,4,9,Morning
SESS000098,USR04729,2023-01-08,Instagram,,Tablet,,2,,21,6,6,Morning
SESS000099,USR01567,2023-01-17,Instagram,182.3,Desktop,152.0,12,49.39,15,37,0,Morning
SESS000100,USR04723,2023-09-21,Pinterest,88.7,Desktop,191.0,5,19.89,0,40,13,Late Night
SESS000101,USR02910,2023-12-13,LinkedIn,57.5,Desktop,2.0,30,13.58,93,12,6,Evening
SESS000102,USR00721,2023-12-05,YouTube,50.1,Desktop,44.0,13,36.07,26,1,18,Late Night
SESS000103,USR04009,2023-09-29,LinkedIn,68.6,Desktop,21.0,2,0.78,2,38,1,Evening
SESS000104,USR03307,2023-10-28,Facebook,17.8,Tablet,187.0,20,72.54,63,20,20,Evening
SESS000105,USR04273,2023-03-15,Twitter/X,,Tablet,,13,,28,41,2,Evening
SESS000106,USR03433,2023-06-17,LinkedIn,48.9,Tablet,141.0,28,166.72,26,43,9,Morning
SESS000107,USR03465,2023-10-04,Pinterest,65.0,Desktop,17.0,16,229.06,91,22,7,Late Night
SESS000108,USR04095,2023-11-21,Snapchat,34.9,Mobile,172.0,4,38.57,9,22,20,Morning
SESS000109,USR04372,2023-06-16,YouTube,77.0,Tablet,118.0,2,13.85,88,6,6,Evening
SESS000110,USR02791,2023-09-05,TikTok,77.0,Mobile,82.0,18,21.24,18,45,1,Afternoon
SESS000111,USR02189,2023-09-21,Facebook,217.4,Mobile,143.0,2,188.69,5,22,15,Evening
SESS000112,USR04863,2023-04-13,Pinterest,61.3,Mobile,154.0,17,46.51,64,18,4,Afternoon
SESS000113,USR04734,2023-11-08,TikTok,76.0,Tablet,165.0,27,5.7,70,9,11,Evening
SESS000114,USR04065,2023-10-06,Snapchat,29.6,Tablet,48.0,6,67.73,49,47,17,Late Night
SESS000115,USR01416,2023-01-24,Facebook,181.7,Mobile,57.0,14,25.37,19,20,8,Morning
SESS000116,USR01403,2023-04-09,Facebook,57.6,Tablet,137.0,3,62.88,100,40,0,Evening
SESS000117,USR02408,2023-09-02,Pinterest,125.0,Tablet,178.0,10,56.87,69,43,13,Morning
SESS000118,USR00744,2023-01-13,TikTok,61.9,Desktop,79.0,24,105.12,100,14,19,Evening
SESS000119,USR02413,2023-04-20,Instagram,74.8,Mobile,67.0,27,97.15,67,36,12,Evening
SESS000120,USR04974,2023-08-20,Twitter/X,22.1,Mobile,65.0,2,42.56,2,40,7,Morning
SESS000121,USR04065,2023-08-30,Facebook,206.8,Tablet,127.0,5,151.58,43,26,18,Morning
SESS000122,USR00198,2023-04-16,Pinterest,45.3,Tablet,114.0,2,46.32,38,35,9,Late Night
SESS000123,USR04151,2023-02-12,YouTube,61.4,Desktop,32.0,15,3.7,63,33,2,Evening
SESS000124,USR00140,2023-03-20,Facebook,90.3,Tablet,158.0,14,17.08,48,0,19,Evening
SESS000125,USR03081,2023-01-27,TikTok,27.7,Desktop,85.0,29,58.55,16,24,15,Evening
SESS000126,USR01541,2023-07-08,TikTok,111.2,Desktop,139.0,2,30.63,4,25,11,Morning
SESS000127,USR03247,2023-10-10,Pinterest,127.0,Desktop,73.0,30,58.35,5,11,19,Afternoon
SESS000128,USR02480,2023-10-12,TikTok,137.3,Desktop,149.0,9,53.91,52,5,6,Late Night
SESS000129,USR00159,2023-07-29,Instagram,12.2,Desktop,36.0,11,85.81,98,11,3,Afternoon
SESS000130,USR04025,2023-10-18,Snapchat,34.4,Tablet,159.0,24,27.03,53,8,11,Morning
SESS000131,USR02334,2023-11-25,Pinterest,260.8,Desktop,125.0,21,173.81,32,5,8,Late Night
SESS000132,USR01591,2023-12-19,Twitter/X,20.7,Desktop,174.0,12,80.94,87,38,4,Late Night
SESS000133,USR04447,2023-06-06,LinkedIn,75.8,Mobile,106.0,12,9.48,85,40,6,Evening
SESS000134,USR04540,2023-09-23,Twitter/X,130.2,Tablet,121.0,21,34.46,26,35,19,Late Night
SESS000135,USR03846,2023-07-01,YouTube,44.2,Mobile,163.0,20,82.48,31,24,0,Morning
SESS000136,USR01052,2023-04-16,Pinterest,50.7,Tablet,150.0,3,18.9,76,44,0,Evening
SESS000137,USR02996,2023-12-21,Snapchat,60.2,Tablet,118.0,22,227.28,34,11,5,Morning
SESS000138,USR04310,2023-02-01,YouTube,28.1,Tablet,190.0,12,11.47,42,22,11,Late Night
SESS000139,USR01861,2023-08-22,TikTok,86.5,Mobile,44.0,26,23.49,99,33,15,Late Night
SESS000140,USR01950,2023-05-10,YouTube,55.5,Desktop,47.0,4,3.63,89,1,3,Late Night
SESS000141,USR04853,2023-09-24,Twitter/X,49.2,Mobile,91.0,5,55.13,87,42,10,Morning
SESS000142,USR01137,2023-08-23,YouTube,15.3,Mobile,139.0,19,59.78,36,39,16,Late Night
SESS000143,USR03605,2023-10-10,Twitter/X,20.4,Desktop,24.0,20,8.06,7,37,5,Morning
SESS000144,USR01366,2023-02-09,Snapchat,94.4,Mobile,21.0,22,28.28,36,0,15,Morning
SESS000145,USR03608,2023-04-07,Twitter/X,16.5,Tablet,119.0,16,23.86,6,18,18,Afternoon
SESS000146,USR03901,2023-05-12,Facebook,609.2,Tablet,6.0,4,63.89,11,12,0,Afternoon
SESS000147,USR02952,2023-01-12,Snapchat,207.3,Desktop,132.0,19,135.66,16,20,2,Evening
SESS000148,USR03227,2023-10-31,Instagram,72.2,Desktop,185.0,28,4.83,51,49,6,Morning
SESS000149,USR04455,2023-06-28,TikTok,8.1,Mobile,86.0,15,44.45,0,38,2,Late Night
SESS000150,USR00938,2023-12-20,TikTok,62.9,Mobile,137.0,2,7.83,90,20,1,Late Night
SESS000151,USR03774,2023-12-01,LinkedIn,42.7,Mobile,149.0,18,75.36,52,14,6,Evening
SESS000152,USR03424,2023-03-02,Snapchat,73.3,Desktop,132.0,25,72.97,1,35,9,Late Night
SESS000153,USR00132,2023-05-21,Twitter/X,67.7,Desktop,75.0,23,49.63,61,39,3,Evening
SESS000154,USR02675,2023-01-08,Pinterest,74.0,Tablet,28.0,24,20.25,89,18,8,Late Night
SESS000155,USR01970,2023-06-13,Pinterest,,Tablet,,14,,60,35,10,Evening
SESS000156,USR02834,2023-01-30,Instagram,33.2,Tablet,48.0,15,51.67,56,9,7,Afternoon
SESS000157,USR01092,2023-02-06,Snapchat,16.0,Tablet,84.0,29,67.94,34,22,10,Afternoon
SESS000158,USR01889,2023-10-11,Instagram,247.9,Desktop,194.0,20,75.42,12,31,12,Afternoon
SESS000159,USR02463,2023-02-21,Instagram,66.1,Mobile,100.0,7,6.91,26,45,16,Afternoon
SESS000160,USR04728,2023-05-05,YouTube,24.7,Desktop,65.0,30,24.62,82,17,12,Late Night
SESS000161,USR02625,2023-12-30,Snapchat,19.9,Mobile,140.0,23,22.64,81,32,12,Late Night
SESS000162,USR02572,2023-12-30,TikTok,199.0,Desktop,126.0,22,60.91,32,25,18,Afternoon
SESS000163,USR00806,2023-07-17,Snapchat,50.6,Tablet,58.0,11,22.34,72,45,13,Late Night
SESS000164,USR01493,2023-02-08,YouTube,98.0,Mobile,113.0,5,109.87,19,28,9,Late Night
SESS000165,USR01635,2023-09-11,LinkedIn,43.3,Desktop,96.0,11,2.75,28,31,10,Late Night
SESS000166,USR01582,2023-01-18,TikTok,31.8,Mobile,61.0,4,103.88,99,44,16,Morning
SESS000167,USR03909,2023-01-02,Twitter/X,120.1,Tablet,194.0,30,20.54,62,35,11,Afternoon
SESS000168,USR03583,2023-01-20,Twitter/X,23.4,Desktop,93.0,22,34.7,74,32,16,Late Night
SESS000169,USR00954,2023-05-22,Snapchat,128.8,Mobile,48.0,4,27.09,88,27,12,Evening
SESS000170,USR02005,2023-09-21,Pinterest,44.7,Tablet,183.0,25,147.38,62,5,4,Morning
SESS000171,USR04390,2023-07-03,Pinterest,115.6,Mobile,161.0,1,2.32,67,10,8,Morning
SESS000172,USR02521,2023-06-05,LinkedIn,37.2,Desktop,189.0,5,80.17,18,49,19,Late Night
SESS000173,USR03994,2023-12-03,YouTube,69.0,Tablet,36.0,4,18.75,14,19,4,Morning
SESS000174,USR00555,2023-02-25,LinkedIn,103.2,Mobile,140.0,12,9.86,6,8,18,Evening
SESS000175,USR02168,2023-03-11,YouTube,20.4,Mobile,100.0,1,2.87,35,47,10,Morning
SESS000176,USR03812,2023-12-16,Snapchat,38.7,Desktop,15.0,5,70.71,84,47,2,Morning
SESS000177,USR01462,2023-04-09,Facebook,21.9,Mobile,20.0,29,34.2,77,35,18,Morning
SESS000178,USR02507,2023-12-07,Facebook,20.3,Mobile,42.0,9,16.98,8,45,17,Afternoon
SESS000179,USR00342,2023-05-09,Pinterest,112.3,Desktop,1.0,2,2.88,82,19,11,Morning
SESS000180,USR04536,2023-09-17,Facebook,38.1,Mobile,13.0,7,10.61,31,3,8,Morning
SESS000181,USR00787,2023-02-23,Instagram,137.2,Desktop,110.0,11,29.09,56,17,18,Evening
SESS000182,USR02826,2023-01-05,Pinterest,158.5,Mobile,30.0,9,79.13,64,15,5,Evening
SESS000183,USR01861,2023-10-26,YouTube,18.9,Desktop,162.0,29,3.21,66,13,8,Afternoon
SESS000184,USR00894,2023-05-26,TikTok,186.7,Mobile,48.0,14,167.83,68,46,15,Morning
SESS000185,USR02214,2023-12-14,YouTube,96.1,Tablet,136.0,4,10.33,100,3,6,Evening
SESS000186,USR02556,2023-06-16,Twitter/X,54.4,Mobile,37.0,29,88.5,42,28,19,Morning
SESS000187,USR00597,2023-03-26,Facebook,204.1,Desktop,192.0,18,70.37,49,45,4,Morning
SESS000188,USR02320,2023-06-12,Snapchat,45.5,Desktop,110.0,5,58.68,39,17,15,Afternoon
SESS000189,USR00849,2023-06-17,Pinterest,19.7,Tablet,63.0,13,22.16,53,48,7,Afternoon
SESS000190,USR03534,2023-05-08,Twitter/X,34.1,Mobile,86.0,8,9.38,11,3,17,Late Night
SESS000191,USR04455,2023-12-25,Facebook,77.5,Mobile,83.0,1,29.38,37,11,12,Afternoon
SESS000192,USR03112,2023-10-20,YouTube,50.5,Tablet,187.0,29,7.37,15,41,1,Morning
SESS000193,USR00178,2023-07-17,Pinterest,19.3,Mobile,113.0,2,47.1,86,36,11,Evening
SESS000194,USR00774,2023-03-16,Instagram,48.7,Mobile,11.0,18,12.66,9,36,17,Morning
SESS000195,USR00567,2023-06-15,YouTube,12.4,Mobile,57.0,14,2.71,25,47,16,Late Night
SESS000196,USR01556,2023-07-04,Twitter/X,72.5,Tablet,117.0,20,2.21,11,20,13,Afternoon
SESS000197,USR00078,2023-08-09,LinkedIn,27.4,Desktop,82.0,7,95.59,88,36,12,Morning
SESS000198,USR03558,2023-02-10,Pinterest,56.6,Desktop,17.0,3,37.86,83,31,14,Afternoon
SESS000199,USR02078,2023-05-20,Pinterest,90.3,Mobile,76.0,4,1.61,92,21,14,Late Night
SESS000200,USR00023,2023-05-18,YouTube,86.8,Mobile,158.0,12,16.12,77,23,4,Morning
SESS000201,USR04888,2023-02-21,LinkedIn,97.1,Desktop,144.0,29,0.9,23,10,8,Late Night
SESS000202,USR00262,2023-03-21,Twitter/X,25.5,Desktop,12.0,16,37.52,72,29,8,Late Night
SESS000203,USR01683,2023-12-06,Instagram,12.0,Tablet,9.0,29,29.61,53,14,1,Evening
SESS000204,USR03550,2023-12-21,LinkedIn,76.1,Tablet,12.0,24,44.23,0,46,8,Afternoon
SESS000205,USR02732,2023-10-16,Instagram,26.3,Tablet,188.0,27,63.31,32,33,17,Late Night
SESS000206,USR04418,2023-10-05,Facebook,18.6,Mobile,49.0,7,8.85,20,19,9,Evening
SESS000207,USR03063,2023-08-17,YouTube,205.6,Tablet,168.0,24,66.87,2,36,11,Evening
SESS000208,USR03070,2023-02-01,Pinterest,112.0,Mobile,102.0,5,67.37,72,23,8,Evening
SESS000209,USR02995,2023-02-02,TikTok,132.7,Desktop,57.0,28,47.21,4,40,7,Evening
SESS000210,USR00103,2023-01-30,Pinterest,28.2,Desktop,96.0,5,12.85,19,50,17,Afternoon
SESS000211,USR01588,2023-11-10,Snapchat,161.6,Tablet,14.0,15,48.26,94,10,5,Morning
SESS000212,USR04863,2023-04-08,TikTok,20.6,Tablet,129.0,4,19.76,47,23,0,Evening
SESS000213,USR04401,2023-12-05,TikTok,10.4,Tablet,34.0,24,17.08,74,44,1,Morning
SESS000214,USR04698,2023-03-08,Facebook,102.9,Tablet,78.0,26,74.13,18,24,15,Afternoon
SESS000215,USR03211,2023-03-04,TikTok,83.2,Desktop,48.0,19,35.52,71,18,15,Morning
SESS000216,USR02093,2023-06-20,Instagram,173.4,Mobile,125.0,3,9.66,21,18,2,Evening
SESS000217,USR03341,2023-03-16,Pinterest,133.0,Tablet,4.0,3,14.3,8,17,20,Evening
SESS000218,USR00461,2023-10-29,Snapchat,58.2,Desktop,14.0,20,55.01,78,50,9,Evening
SESS000219,USR00947,2023-05-11,Twitter/X,47.4,Tablet,108.0,18,22.06,68,28,12,Late Night
SESS000220,USR00401,2023-02-25,Facebook,62.4,Tablet,119.0,24,34.11,2,15,7,Morning
SESS000221,USR04586,2023-09-12,TikTok,21.9,Desktop,75.0,30,28.32,94,1,19,Afternoon
SESS000222,USR03575,2023-08-09,Pinterest,25.8,Desktop,49.0,29,49.47,53,36,11,Late Night
SESS000223,USR04865,2023-02-26,Facebook,102.3,Desktop,49.0,5,179.14,88,34,5,Morning
SESS000224,USR01478,2023-02-26,Instagram,71.1,Mobile,46.0,15,80.31,31,1,14,Late Night
SESS000225,USR00643,2023-02-19,TikTok,75.4,Tablet,150.0,21,5.06,92,5,7,Afternoon
SESS000226,USR02372,2023-06-07,Snapchat,22.5,Desktop,149.0,5,158.63,33,7,18,Late Night
SESS000227,USR01123,2023-09-21,YouTube,34.9,Tablet,188.0,7,28.15,77,39,16,Late Night
SESS000228,USR02338,2023-04-30,Snapchat,38.6,Desktop,171.0,9,24.03,70,31,1,Evening
SESS000229,USR04450,2023-03-22,TikTok,88.2,Mobile,177.0,19,29.19,21,14,7,Morning
SESS000230,USR00098,2023-05-09,Facebook,40.5,Desktop,141.0,12,74.96,79,0,16,Evening
SESS000231,USR04883,2023-12-27,Snapchat,30.0,Desktop,136.0,21,45.48,80,7,5,Afternoon
SESS000232,USR01510,2023-01-20,Pinterest,158.6,Tablet,126.0,30,59.79,0,1,7,Morning
SESS000233,USR04986,2023-11-03,Instagram,14.2,Tablet,40.0,11,0.98,80,49,8,Evening
SESS000234,USR03941,2023-07-27,YouTube,224.6,Desktop,67.0,16,4.46,69,5,8,Morning
SESS000235,USR03490,2023-06-25,Instagram,46.1,Mobile,190.0,5,98.92,50,49,19,Late Night
SESS000236,USR01229,2023-03-11,Snapchat,54.8,Tablet,94.0,23,32.75,5,24,12,Morning
SESS000237,USR01217,2023-12-13,TikTok,96.1,Tablet,95.0,2,50.07,47,15,19,Afternoon
SESS000238,USR00595,2023-07-30,Pinterest,58.2,Tablet,91.0,29,23.41,80,29,15,Evening
SESS000239,USR03349,2023-02-09,Snapchat,1041.9,Desktop,126.0,13,19.28,56,9,17,Evening
SESS000240,USR00018,2023-03-09,LinkedIn,59.6,Mobile,91.0,14,236.0,78,10,15,Late Night
SESS000241,USR03003,2023-03-05,LinkedIn,48.2,Tablet,15.0,8,131.86,100,21,8,Afternoon
SESS000242,USR02000,2023-07-18,Facebook,159.0,Mobile,16.0,19,147.55,27,20,0,Late Night
SESS000243,USR04393,2023-07-31,YouTube,409.1,Tablet,162.0,2,6.47,18,42,17,Late Night
SESS000244,USR01598,2023-10-16,YouTube,28.7,Desktop,108.0,29,44.98,85,25,9,Evening
SESS000245,USR03091,2023-06-02,Pinterest,23.3,Desktop,127.0,5,36.07,82,4,10,Afternoon
SESS000246,USR00762,2023-09-22,Pinterest,89.4,Mobile,113.0,16,256.07,86,45,9,Afternoon
SESS000247,USR02668,2023-02-15,Facebook,26.9,Tablet,196.0,21,8.52,71,30,5,Late Night
SESS000248,USR00840,2023-12-26,Pinterest,,Tablet,,29,,69,9,20,Late Night
SESS000249,USR03309,2023-11-23,LinkedIn,53.6,Mobile,188.0,10,76.07,73,50,7,Morning
SESS000250,USR02279,2023-01-31,Snapchat,44.5,Desktop,95.0,21,117.77,95,36,5,Afternoon
SESS000251,USR00327,2023-01-01,YouTube,91.1,Desktop,13.0,3,36.35,65,22,13,Evening
SESS000252,USR01998,2023-02-09,Pinterest,160.6,Desktop,140.0,9,77.53,17,45,9,Afternoon
SESS000253,USR04809,2023-02-02,Snapchat,56.6,Tablet,46.0,15,5.83,93,19,13,Evening
SESS000254,USR01939,2023-03-26,LinkedIn,21.0,Tablet,17.0,12,8.78,13,2,1,Evening
SESS000255,USR01432,2023-12-30,Twitter/X,28.5,Mobile,190.0,30,42.46,100,24,13,Late Night
SESS000256,USR02135,2023-04-17,Snapchat,14.1,Mobile,188.0,7,55.12,44,40,2,Morning
SESS000257,USR04041,2023-04-23,Pinterest,126.2,Tablet,8.0,9,9.19,84,45,11,Afternoon
SESS000258,USR00521,2023-12-23,Pinterest,90.1,Mobile,194.0,20,41.68,38,31,10,Afternoon
SESS000259,USR01919,2023-01-12,Pinterest,112.1,Mobile,132.0,2,44.29,86,22,13,Late Night
SESS000260,USR01123,2023-03-04,YouTube,22.6,Desktop,39.0,4,1.7,0,31,14,Morning
