post_id,user_id,platform,content_type,post_datetime,likes,comments_count,shares,views,hashtag_count,has_paid_promotion,post_duration_sec,caption_length,location_tagged
POST000039,USR02610,Snapchat,Story,2022-05-16 22:00:00,4.0,0.0,0.0,61.0,25.0,False,,390,True
POST000040,USR00709,Facebook,Text,2022-03-02 05:00:00,536.0,65.0,29.0,5851.0,10.0,True,,1936,False
POST000041,USR04619,YouTube,Story,2022-04-17 13:00:00,23.0,1.0,1.0,388.0,13.0,False,,458,True
POST000042,USR03158,LinkedIn,Meme,2023-08-28 15:00:00,17.0,2.0,1.0,596.0,17.0,False,,193,False
POST000043,USR03218,Snapchat,Reel/Short,2023-08-06 21:00:00,1.0,0.0,0.0,56.0,5.0,False,1237,2122,True
POST000044,USR04050,Instagram,Text,2023-03-25 05:00:00,20.0,0.0,1.0,256.0,7.0,False,,1209,
POST000045,USR04767,Twitter/X,Text,2023-09-18 12:00:00,14.0,1.0,1.0,645.0,17.0,False,,1003,False
POST000046,USR02366,LinkedIn,Reel/Short,2023-01-03 19:00:00,1.0,0.0,0.0,13.0,5.0,False,3458,1136,True
POST000047,USR02583,Pinterest,Reel/Short,2022-01-30 21:00:00,17.0,1.0,0.0,365.0,28.0,True,3129,1917,False
POST000048,USR01384,Instagram,Text,2022-05-14 15:00:00,584.0,45.0,8.0,14931.0,9.0,False,,645,False
POST000049,USR03646,Instagram,Story,2023-05-15 03:00:00,108.0,1.0,7.0,830.0,16.0,False,,1932,True
POST000050,USR02122,Twitter/X,Blog,2023-02-26 14:00:00,2.0,0.0,0.0,94.0,0.0,False,,1738,
POST000051,USR02942,YouTube,Meme,2022-02-17 02:00:00,119.0,9.0,8.0,2224.0,10.0,True,,1894,True
POST000052,USR03881,Snapchat,Reel/Short,2022-09-25 20:00:00,234.0,20.0,16.0,7795.0,17.0,False,356,214,False
POST000053,USR00365,Facebook,Reel/Short,2022-11-18 00:00:00,67.0,9.0,3.0,835.0,26.0,False,3443,130,False
POST000054,USR02312,Facebook,Meme,2023-12-23 21:00:00,51.0,3.0,1.0,2296.0,16.0,True,,2195,False
POST000055,USR02865,TikTok,Meme,2023-06-22 23:00:00,11.0,2.0,0.0,484.0,5.0,,,453,True
POST000056,USR00185,Instagram,Meme,2023-08-14 23:00:00,126.0,7.0,1.0,1450.0,8.0,False,,1955,False
POST000057,USR03504,Twitter/X,Blog,2023-08-02 07:00:00,176.0,16.0,13.0,5272.0,15.0,False,,1081,True
POST000058,USR04789,Facebook,Video,2023-11-17 10:00:00,96.0,2.0,4.0,1164.0,10.0,False,2636,384,False
POST000059,USR03006,LinkedIn,Live,2023-06-16 16:00:00,1791.0,119.0,60.0,82437.0,24.0,False,793,862,False
POST000060,USR00730,Twitter/X,Video,2023-12-06 22:00:00,36.0,4.0,3.0,975.0,0.0,False,2761,496,False
POST000061,USR04076,LinkedIn,Meme,2023-09-26 03:00:00,4.0,0.0,0.0,40.0,30.0,False,,732,False
POST000062,USR00567,Facebook,Reel/Short,2023-03-20 21:00:00,1554.0,18.0,99.0,37854.0,26.0,False,1486,947,True
POST000063,USR01312,Pinterest,Live,2022-09-12 15:00:00,1.0,0.0,0.0,24.0,24.0,False,903,1699,True
POST000064,USR04439,Twitter/X,Blog,2022-12-21 21:00:00,25.0,0.0,2.0,470.0,0.0,False,,206,True
POST000065,USR03424,LinkedIn,Photo,2023-11-24 20:00:00,9.0,0.0,1.0,203.0,0.0,False,,1326,False
POST000066,USR00612,Instagram,Photo,2023-01-30 04:00:00,45.0,6.0,1.0,1409.0,26.0,False,,2123,True
POST000067,USR04101,LinkedIn,Meme,2023-07-26 19:00:00,42.0,1.0,3.0,1513.0,21.0,False,,480,False
POST000068,USR00624,TikTok,Meme,2022-02-25 00:00:00,8.0,1.0,1.0,105.0,20.0,False,,2100,False
POST000069,USR00498,TikTok,Meme,2023-10-21 05:00:00,462.0,66.0,25.0,8238.0,16.0,False,,5,False
POST000070,USR00223,LinkedIn,Video,2023-06-02 15:00:00,42.0,4.0,3.0,643.0,3.0,False,1836,1106,False
POST000071,USR00953,Instagram,Video,2023-05-23 05:00:00,625.0,35.0,42.0,30723.0,29.0,False,725,1148,False
POST000072,USR01907,LinkedIn,Video,2022-03-18 15:00:00,5.0,0.0,0.0,230.0,25.0,False,2039,1371,False
POST000073,USR01161,Pinterest,Live,2022-11-25 07:00:00,6.0,0.0,0.0,241.0,23.0,,2109,1079,False
POST000074,USR02785,YouTube,Live,2022-12-05 08:00:00,6.0,1.0,0.0,87.0,10.0,False,2476,109,True
POST000075,USR03835,Pinterest,Photo,2022-02-21 16:00:00,154.0,19.0,5.0,4084.0,18.0,False,,1117,True
POST000076,USR04634,YouTube,Blog,2022-08-17 17:00:00,1799.0,74.0,34.0,41207.0,6.0,False,,1279,False
POST000077,USR00703,Snapchat,Reel/Short,2023-10-21 12:00:00,30.0,3.0,2.0,757.0,8.0,False,1694,1119,False
POST000078,USR03409,Snapchat,Meme,2023-02-17 07:00:00,1.0,0.0,0.0,26.0,6.0,False,,1197,False
POST000079,USR00997,Twitter/X,Meme,2022-03-22 14:00:00,141.0,4.0,4.0,5266.0,2.0,False,,1399,True
POST000080,USR03935,Instagram,Blog,2023-03-31 18:00:00,206.0,9.0,10.0,4457.0,15.0,False,,350,
POST000081,USR04828,Instagram,Meme,2023-04-04 02:00:00,7.0,0.0,0.0,60.0,23.0,False,,1184,True
POST000082,USR02261,Twitter/X,Text,2023-05-26 14:00:00,169.0,14.0,10.0,3151.0,21.0,True,,1141,False
POST000083,USR00587,Pinterest,Video,2022-11-20 03:00:00,276.0,10.0,7.0,2513.0,21.0,False,373,1777,True
POST000084,USR02985,Twitter/X,Meme,2023-05-25 23:00:00,1.0,0.0,0.0,36.0,11.0,False,,860,False
POST000085,USR02870,Facebook,Video,2023-11-01 00:00:00,509.0,25.0,36.0,5363.0,2.0,False,1979,1142,True
POST000086,USR03577,TikTok,Text,2022-04-16 12:00:00,577.0,64.0,36.0,6646.0,15.0,False,,1816,True
POST000087,USR02724,Facebook,Story,2023-02-27 01:00:00,29.0,2.0,2.0,575.0,17.0,False,,1021,True
POST000088,USR01005,Twitter/X,Blog,2023-07-25 17:00:00,198.0,12.0,13.0,7109.0,4.0,False,,1161,True
POST000089,USR01776,Twitter/X,Meme,2022-01-01 02:00:00,2844.0,152.0,178.0,34094.0,15.0,False,,130,False
POST000090,USR01115,LinkedIn,Reel/Short,2023-09-11 19:00:00,15.0,0.0,1.0,343.0,15.0,False,1052,272,False
POST000091,USR02900,Twitter/X,Meme,2023-10-15 09:00:00,556.0,78.0,7.0,7947.0,28.0,False,,1889,False
POST000092,USR04721,Pinterest,Blog,2023-06-05 17:00:00,89.0,11.0,4.0,3477.0,15.0,False,,1362,False
POST000093,USR02690,Facebook,Video,2022-07-31 20:00:00,6.0,0.0,0.0,116.0,10.0,False,527,1454,False
POST000094,USR00613,TikTok,Video,2023-11-19 14:00:00,1.0,0.0,0.0,34.0,20.0,False,2464,38,True
POST000095,USR03611,Twitter/X,Photo,2022-12-16 11:00:00,231.0,17.0,16.0,8752.0,18.0,False,,1896,True
POST000096,USR02578,Snapchat,Story,2022-02-25 07:00:00,4.0,0.0,0.0,99.0,25.0,False,,1565,
POST000097,USR01404,TikTok,Live,2023-04-11 10:00:00,378.0,50.0,5.0,8933.0,19.0,False,3213,364,False
POST000098,USR00011,Snapchat,Live,2023-07-28 19:00:00,1.0,0.0,0.0,7.0,13.0,False,428,959,False
POST000099,USR01998,Snapchat,Reel/Short,2023-09-07 15:00:00,4222212.0,11.0,2.0,1434.0,21.0,False,3229,664,False
POST000100,USR00555,TikTok,Story,2023-11-04 11:00:00,29.0,3.0,1.0,1206.0,19.0,True,,881,True
POST000101,USR00764,Snapchat,Photo,2023-04-09 03:00:00,1562.0,65.0,10.0,48879.0,2.0,False,,280,False
POST000102,USR04647,Instagram,Reel/Short,2022-04-10 21:00:00,86.0,5.0,3.0,1470.0,17.0,False,2294,1887,False
POST000103,USR01871,Pinterest,Text,2022-08-16 00:00:00,186.0,21.0,9.0,8284.0,16.0,False,,599,False
POST000104,USR00755,Facebook,Text,2022-12-16 11:00:00,23.0,1.0,1.0,1025.0,21.0,False,,1308,True
POST000105,USR03156,Twitter/X,Photo,2023-10-11 09:00:00,38.0,2.0,0.0,982.0,24.0,False,,1505,
POST000106,USR00337,Instagram,Live,2023-07-15 16:00:00,448.0,66.0,8.0,13905.0,18.0,False,877,1615,True
POST000107,USR00055,Twitter/X,Reel/Short,2023-01-18 22:00:00,56.0,6.0,2.0,894.0,15.0,False,1463,2089,False
POST000108,USR03393,LinkedIn,Reel/Short,2022-04-19 01:00:00,9.0,0.0,1.0,338.0,16.0,False,1351,1106,False
POST000109,USR01117,Pinterest,Live,2022-06-18 15:00:00,534.0,12.0,24.0,6464.0,3.0,False,2545,1291,False
POST000110,USR04204,Twitter/X,Meme,2022-05-24 22:00:00,1590.0,230.0,75.0,60498.0,23.0,False,,1588,False
POST000111,USR03422,Instagram,Photo,2023-02-24 03:00:00,1103.0,88.0,45.0,9798.0,4.0,False,,554,True
POST000112,USR04645,Twitter/X,Photo,2022-09-18 19:00:00,721.0,50.0,51.0,28388.0,21.0,False,,978,
POST000113,USR02794,Pinterest,Photo,2022-07-20 06:00:00,31.0,4.0,2.0,440.0,10.0,False,,1460,True
POST000114,USR04683,LinkedIn,Meme,2022-05-04 12:00:00,8.0,1.0,0.0,358.0,12.0,False,,1687,False
POST000115,USR04946,LinkedIn,Live,2022-08-09 14:00:00,5.0,0.0,0.0,128.0,24.0,False,572,776,False
POST000116,USR04585,TikTok,Reel/Short,2022-07-15 22:00:00,4.0,0.0,0.0,131.0,27.0,True,3472,464,
POST000117,USR00822,Facebook,Blog,2022-12-13 03:00:00,45.0,4.0,2.0,1876.0,26.0,False,,142,True
POST000118,USR04169,Pinterest,Live,2023-03-01 01:00:00,1887.0,162.0,37.0,13190.0,11.0,False,2123,154,False
POST000119,USR03163,Pinterest,Text,2023-10-11 21:00:00,2.0,0.0,0.0,79.0,2.0,False,,1568,True
POST000120,USR01902,Pinterest,Story,2023-08-26 03:00:00,56.0,5.0,1.0,954.0,17.0,False,,728,True
POST000121,USR02868,Twitter/X,Photo,2023-04-07 14:00:00,29.0,3.0,0.0,416.0,11.0,False,,728,True
POST000122,USR00448,Facebook,Photo,2023-11-06 18:00:00,5.0,1.0,0.0,207.0,25.0,False,,1821,True
POST000123,USR04926,LinkedIn,Blog,2023-06-01 04:00:00,33.0,3.0,2.0,870.0,9.0,False,,2150,False
POST000124,USR04676,LinkedIn,Blog,2023-05-26 00:00:00,720.0,64.0,5.0,32484.0,0.0,False,,1666,False
POST000125,USR03296,Pinterest,Story,2023-06-28 23:00:00,86.0,8.0,1.0,1172.0,18.0,False,,766,False
POST000126,USR03288,LinkedIn,Blog,2022-02-19 17:00:00,191.0,9.0,5.0,6484.0,8.0,False,,266,False
POST000127,USR00166,YouTube,Video,2023-03-20 18:00:00,463.0,61.0,27.0,15327.0,1.0,False,1834,705,False
POST000128,USR00434,LinkedIn,Reel/Short,2023-05-10 16:00:00,118.0,11.0,6.0,4998.0,28.0,False,3046,1603,False
POST000129,USR01820,LinkedIn,Reel/Short,2022-07-01 22:00:00,26.0,3.0,1.0,930.0,13.0,False,3600,1738,False
POST000130,USR04166,Snapchat,Meme,2023-08-16 05:00:00,67.0,5.0,2.0,1255.0,7.0,False,,1453,True
POST000131,USR00543,LinkedIn,Reel/Short,2022-05-12 03:00:00,6.0,0.0,0.0,203.0,9.0,False,2594,424,True
POST000132,USR02233,Twitter/X,Live,2023-02-01 21:00:00,61.0,2.0,2.0,2702.0,18.0,False,2795,1758,False
POST000133,USR01674,Snapchat,Video,2023-09-07 19:00:00,70.0,5.0,1.0,3022.0,21.0,False,105,955,False
POST000134,USR00140,Facebook,Meme,2022-11-26 16:00:00,761.0,100.0,22.0,33507.0,18.0,,,605,False
POST000135,USR03335,Instagram,Photo,2023-01-29 13:00:00,29.0,1.0,1.0,829.0,9.0,False,,1539,True
POST000136,USR04252,Facebook,Blog,2023-09-16 22:00:00,29.0,2.0,1.0,1124.0,22.0,False,,1264,True
POST000137,USR02379,TikTok,Meme,2022-09-12 08:00:00,3.0,0.0,0.0,40.0,7.0,False,,140,False
POST000138,USR01504,TikTok,Live,2023-02-12 10:00:00,200.0,26.0,9.0,9473.0,0.0,False,1032,2045,False
POST000139,USR03036,Facebook,Text,2022-10-29 14:00:00,3.0,0.0,0.0,84.0,7.0,False,,1046,False
POST000140,USR04417,LinkedIn,Photo,2022-05-17 04:00:00,20.0,1.0,1.0,693.0,8.0,True,,500,True
POST000141,USR01947,Facebook,Live,2023-02-27 19:00:00,13.0,0.0,0.0,415.0,25.0,False,483,181,False
POST000142,USR04260,Snapchat,Video,2023-12-18 23:00:00,324.0,17.0,15.0,3523.0,1.0,False,2078,12,True
POST000143,USR00202,Snapchat,Photo,2023-06-09 09:00:00,145.0,9.0,5.0,6224.0,1.0,True,,1259,False
POST000144,USR04186,Twitter/X,Live,2023-12-20 17:00:00,225.0,7.0,4.0,4622.0,14.0,True,2169,1865,True
POST000145,USR04682,Snapchat,Photo,2022-11-18 22:00:00,362.0,18.0,22.0,17185.0,24.0,False,,1207,True
POST000146,USR01470,YouTube,Reel/Short,2023-07-21 20:00:00,15.0,2.0,0.0,115.0,10.0,False,2179,2157,True
POST000147,USR04897,Instagram,Blog,2022-08-11 06:00:00,10.0,1.0,0.0,104.0,9.0,False,,858,False
POST000148,USR00986,Instagram,Live,2022-08-03 19:00:00,2.0,0.0,0.0,31.0,16.0,False,1977,935,False
POST000149,USR03554,YouTube,Photo,2022-10-25 21:00:00,70.0,10.0,5.0,1685.0,5.0,False,,737,False
POST000150,USR00677,Snapchat,Photo,2022-12-20 21:00:00,11.0,1.0,0.0,288.0,4.0,False,,1163,False
POST000151,USR01905,LinkedIn,Live,2022-05-16 22:00:00,135.0,8.0,5.0,1039.0,8.0,False,2998,1400,False
POST000152,USR04749,YouTube,Text,2023-10-28 05:00:00,556.0,31.0,6.0,5750.0,12.0,False,,114,False
POST000153,USR03050,Facebook,Video,2023-05-31 17:00:00,351.0,30.0,3.0,5364.0,2.0,False,1165,1014,False
POST000154,USR01890,Facebook,Text,2023-12-12 20:00:00,70.0,8.0,3.0,2483.0,14.0,False,,365,False
POST000155,USR01829,Instagram,Meme,2022-11-27 22:00:00,64.0,3.0,3.0,696.0,3.0,True,,351,True
POST000156,USR00764,Pinterest,Text,2022-04-29 11:00:00,54.0,7.0,1.0,2054.0,11.0,False,,1974,False
POST000157,USR04751,Facebook,Live,2023-07-30 15:00:00,3827.0,220.0,62.0,129311.0,5.0,False,3177,519,False
POST000158,USR02404,TikTok,Story,2023-08-20 18:00:00,17.0,1.0,1.0,483.0,3.0,False,,1061,False
POST000159,USR01360,Facebook,Live,2023-11-15 22:00:00,64.0,8.0,4.0,1737.0,24.0,False,2235,674,False
POST000160,USR00085,Instagram,Meme,2023-03-04 21:00:00,38.0,2.0,3.0,1275.0,14.0,False,,1318,False
POST000161,USR00866,Twitter/X,Reel/Short,2023-07-01 09:00:00,11.0,1.0,0.0,326.0,16.0,True,177,289,False
POST000162,USR03176,Pinterest,Blog,2023-03-09 00:00:00,26.0,2.0,2.0,169.0,23.0,False,,1882,True
POST000163,USR01142,Snapchat,Meme,2023-06-20 03:00:00,58.0,3.0,3.0,1858.0,29.0,True,,1416,True
POST000164,USR01062,Snapchat,Meme,2022-01-26 12:00:00,5.0,0.0,0.0,62.0,11.0,False,,1220,False
POST000165,USR04579,Twitter/X,Meme,2022-05-29 01:00:00,1476.0,172.0,40.0,64420.0,9.0,False,,420,False
POST000166,USR04232,LinkedIn,Video,2023-11-18 01:00:00,233.0,24.0,9.0,1249.0,24.0,False,2966,1039,True
POST000167,USR00076,TikTok,Blog,2022-07-24 08:00:00,485.0,56.0,15.0,4070.0,9.0,False,,1497,
POST000168,USR00316,Pinterest,Blog,2022-06-14 09:00:00,40.0,2.0,3.0,1439.0,16.0,False,,1993,False
POST000169,USR00497,LinkedIn,Live,2023-12-01 08:00:00,29.0,3.0,2.0,1324.0,16.0,False,1124,1859,False
POST000170,USR00956,TikTok,Meme,2022-05-30 01:00:00,36.0,2.0,1.0,1634.0,0.0,False,,457,False
POST000171,USR00621,Twitter/X,Story,2023-12-09 09:00:00,14.0,1.0,0.0,429.0,29.0,True,,942,True
POST000172,USR03640,Facebook,Story,2022-07-28 17:00:00,735.0,98.0,46.0,30067.0,2.0,False,,1247,False
POST000173,USR00018,LinkedIn,Photo,2022-02-03 11:00:00,892.0,99.0,15.0,21788.0,16.0,False,,2049,False
POST000174,USR04528,Pinterest,Reel/Short,2023-04-09 03:00:00,164.0,18.0,2.0,4818.0,27.0,False,994,2023,False
POST000175,USR00616,Instagram,Text,2023-09-23 21:00:00,1630.0,130.0,99.0,74094.0,4.0,False,,1494,False
POST000176,USR00149,LinkedIn,Blog,2023-07-30 07:00:00,6587.0,601.0,293.0,188537.0,28.0,False,,989,
POST000177,USR04536,Pinterest,Video,2023-10-25 17:00:00,4333053.0,254.0,41.0,85968.0,19.0,False,1788,1117,False
POST000178,USR04315,TikTok,Text,2023-02-03 07:00:00,21.0,0.0,1.0,556.0,0.0,False,,1206,True
POST000179,USR03980,TikTok,Story,2023-06-08 22:00:00,0.0,0.0,0.0,11.0,0.0,True,,1179,False
POST000180,USR00671,LinkedIn,Text,2022-10-22 22:00:00,241.0,13.0,12.0,4491.0,1.0,False,,462,False
POST000181,USR03682,Twitter/X,Meme,2023-11-12 01:00:00,128.0,6.0,10.0,4267.0,22.0,False,,859,False
POST000182,USR01019,YouTube,Live,2023-01-26 12:00:00,68.0,9.0,5.0,3015.0,23.0,False,3103,1650,True
POST000183,USR02943,Twitter/X,Story,2023-03-03 21:00:00,34.0,3.0,0.0,590.0,8.0,False,,1966,False
POST000184,USR01275,LinkedIn,Reel/Short,2022-11-17 17:00:00,813.0,14.0,50.0,14911.0,12.0,False,3296,1177,True
POST000185,USR03133,TikTok,Story,2022-02-25 00:00:00,2.0,0.0,0.0,13.0,7.0,False,,410,True
POST000186,USR01503,Facebook,Blog,2022-09-15 06:00:00,1169.0,36.0,79.0,20341.0,28.0,False,,1840,False
POST000187,USR02116,YouTube,Story,2023-09-28 14:00:00,1750.0,124.0,128.0,83098.0,18.0,False,,2029,True
POST000188,USR04349,Snapchat,Video,2022-08-19 20:00:00,74.0,7.0,5.0,3001.0,22.0,False,3287,849,True
POST000189,USR04925,Snapchat,Reel/Short,2023-12-23 22:00:00,96.0,9.0,4.0,3921.0,21.0,False,1862,1465,True
POST000190,USR00884,Snapchat,Photo,2023-10-26 11:00:00,5.0,0.0,0.0,221.0,23.0,False,,1728,True
POST000191,USR02672,YouTube,Text,2023-08-26 17:00:00,407.0,21.0,26.0,18746.0,4.0,False,,2179,False
POST000192,USR01553,Snapchat,Story,2023-09-10 06:00:00,694.0,62.0,33.0,12524.0,5.0,False,,2083,True
POST000193,USR03741,TikTok,Blog,2022-07-18 09:00:00,252.0,33.0,2.0,7263.0,29.0,False,,813,
POST000194,USR04056,TikTok,Photo,2023-04-05 05:00:00,5.0,0.0,0.0,83.0,27.0,False,,1881,False
POST000195,USR02563,LinkedIn,Video,2023-12-01 02:00:00,2.0,0.0,0.0,66.0,1.0,False,1107,643,True
POST000196,USR01902,Snapchat,Photo,2022-07-11 05:00:00,34.0,2.0,0.0,781.0,7.0,False,,1876,False
POST000197,USR03054,LinkedIn,Meme,2023-06-11 03:00:00,64.0,7.0,2.0,3097.0,3.0,False,,1025,True
POST000198,USR02663,Snapchat,Text,2023-01-22 01:00:00,416.0,62.0,6.0,17962.0,0.0,False,,839,False
POST000199,USR00155,LinkedIn,Photo,2023-03-15 08:00:00,34.0,3.0,1.0,1468.0,16.0,False,,43,True
POST000200,USR02894,LinkedIn,Reel/Short,2023-07-24 08:00:00,457.0,37.0,34.0,2827.0,8.0,False,413,432,False
POST000201,USR00388,LinkedIn,Blog,2022-05-14 05:00:00,522.0,11.0,19.0,24505.0,23.0,False,,1047,False
POST000202,USR00004,Facebook,Text,2023-08-22 08:00:00,141.0,8.0,6.0,6673.0,8.0,False,,530,True
POST000203,USR00985,Facebook,Live,2022-01-06 10:00:00,310.0,6.0,4.0,13638.0,21.0,False,2628,1649,False
POST000204,USR02428,YouTube,Reel/Short,2023-04-23 22:00:00,24.0,2.0,2.0,987.0,27.0,False,846,219,True
POST000205,USR01739,Facebook,Meme,2022-06-08 01:00:00,6.0,0.0,0.0,51.0,12.0,False,,250,False
POST000206,USR04129,Instagram,Video,2022-06-07 10:00:00,17.0,1.0,1.0,510.0,24.0,False,2233,1739,False
POST000207,USR01035,Pinterest,Live,2023-09-04 01:00:00,10.0,0.0,0.0,379.0,8.0,False,228,1662,False
POST000208,USR00716,Pinterest,Blog,2023-10-03 19:00:00,615.0,43.0,46.0,12423.0,25.0,False,,1444,True
POST000209,USR01533,Facebook,Blog,2023-11-09 09:00:00,306.0,45.0,11.0,2979.0,30.0,False,,764,False
POST000210,USR01178,Pinterest,Photo,2023-05-18 18:00:00,1.0,0.0,0.0,7.0,1.0,True,,136,False
POST000211,USR04952,Facebook,Blog,2023-07-18 11:00:00,78.0,4.0,4.0,1395.0,11.0,True,,2147,True
POST000212,USR01903,LinkedIn,Story,2022-03-16 22:00:00,2.0,0.0,0.0,16.0,6.0,False,,1408,True
POST000213,USR00922,LinkedIn,Blog,2022-11-22 16:00:00,6.0,1.0,0.0,295.0,17.0,False,,1881,False
POST000214,USR00694,LinkedIn,Reel/Short,2022-08-14 05:00:00,288.0,25.0,21.0,12461.0,10.0,False,1522,1764,True
POST000215,USR00667,TikTok,Live,2023-06-18 02:00:00,2.0,0.0,0.0,53.0,0.0,True,1097,440,True
POST000216,USR01252,Snapchat,Live,2023-06-02 05:00:00,4.0,0.0,0.0,24.0,21.0,False,2999,1405,False
POST000217,USR00102,YouTube,Blog,2023-03-02 17:00:00,7.0,0.0,0.0,131.0,1.0,False,,1586,False
POST000218,USR04354,LinkedIn,Reel/Short,2023-07-04 12:00:00,2.0,0.0,0.0,19.0,30.0,False,426,1351,False
POST000219,USR01801,Facebook,Video,2022-04-05 11:00:00,3.0,0.0,0.0,46.0,10.0,False,2398,588,False
POST000220,USR00072,Facebook,Video,2022-08-15 06:00:00,49.0,1.0,1.0,1791.0,7.0,False,3376,1323,True
POST000221,USR00884,Facebook,Live,2023-11-11 10:00:00,2.0,0.0,0.0,77.0,26.0,False,643,848,False
POST000222,USR03050,TikTok,Photo,2022-12-06 11:00:00,33.0,3.0,2.0,955.0,3.0,False,,1283,
POST000223,USR03904,Instagram,Text,2022-10-28 06:00:00,56.0,3.0,1.0,889.0,999.0,False,,1672,False
POST000224,USR04211,Twitter/X,Text,2023-09-26 16:00:00,246.0,31.0,6.0,8337.0,13.0,False,,491,
POST000225,USR04673,Pinterest,Photo,2023-05-02 17:00:00,350.0,4.0,10.0,15907.0,3.0,True,,768,False
